City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1925,Zharkent,KZ,84.94,clear sky,44.1628,80.0,гостиница Satti
1926,Am Timan,TD,76.41,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
1927,Tawau,MY,89.73,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
1929,Trenggalek,ID,81.73,scattered clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
1932,Bac Lieu,VN,86.0,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
1933,Keshabpur,BD,90.27,overcast clouds,22.9183,89.2112,MD. Anwar Hossain
1936,Tlapacoyan,MX,69.58,overcast clouds,19.9667,-97.2167,Hotel San Diego
1939,Puerto Narino,CO,77.23,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
1940,Woodward,US,72.63,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
1945,Pandharpur,IN,82.2,heavy intensity rain,17.6667,75.3333,Pandharinath Lodge and Restaurant
1946,Nchelenge,ZM,82.51,overcast clouds,-9.3451,28.734,KD Travellers Home
1948,Lakatoro,VU,77.04,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
1949,Lichinga,MZ,68.09,clear sky,-13.3128,35.2406,Residencial Bendiak
1950,Porto Empedocle,IT,74.44,broken clouds,37.2934,13.5264,Hotel dei Pini
1951,Gambela,ET,80.08,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
1953,Muskegon,US,70.21,clear sky,43.3,-86.1334,Timberline Estates
1954,Baoqing,CN,65.95,overcast clouds,46.3317,132.2111,Baoqing Hotel
1956,Ode,NG,69.67,overcast clouds,7.7899,5.7117,MORALAB HOTEL
