City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Provideniya,RU,64.3833,-173.3,32.11,80,20,6.71,few clouds
87,Torbay,CA,47.6666,-52.7314,56.75,97,90,8.05,fog
88,Marienburg,PL,54.0359,19.0266,55.96,72,99,7.72,overcast clouds
89,Bolitoc,PH,15.7395,119.8769,86.23,73,50,5.99,scattered clouds
90,Tiksi,RU,71.6872,128.8694,34.27,97,100,8.57,overcast clouds
91,Portland,US,45.5234,-122.6762,65.21,93,90,1.01,light rain
92,Butaritari,KI,3.0707,172.7902,83.57,76,55,14.56,light rain
93,Khatanga,RU,71.9667,102.5,36.95,63,69,12.06,broken clouds
94,Bajmok,RS,45.9688,19.4243,66.16,56,62,5.1,light rain
95,Castro,BR,-24.7911,-50.0119,60.53,88,55,4.54,broken clouds
96,Bengkulu,ID,-3.8004,102.2655,83.75,71,65,7.9,broken clouds
97,Mahina,PF,-17.5065,-149.489,78.57,69,20,3.44,few clouds
98,Lang Son,VN,21.8333,106.7333,89.56,51,24,2.64,few clouds
99,Rocha,UY,-34.4833,-54.3333,53.22,95,6,2.53,clear sky
100,Lokosovo,RU,61.1333,74.8167,43.63,58,2,7.78,clear sky
101,Norman Wells,CA,65.282,-126.8329,30.24,80,75,2.3,broken clouds
102,Kaitangata,NZ,-46.2817,169.8464,48.92,62,4,7.2,clear sky
103,Green River,US,41.5286,-109.4662,59.4,24,0,4.54,clear sky
104,Esperance,AU,-33.8667,121.9,60.58,81,66,17.83,broken clouds
105,Luderitz,NA,-26.6481,15.1594,60.33,80,52,18.23,broken clouds
106,Mogadishu,SO,2.0371,45.3438,79.9,72,75,20.31,broken clouds
107,Ulagan,RU,50.6321,87.9563,37.87,37,43,3.62,scattered clouds
108,Puerto Ayora,EC,-0.7393,-90.3518,68.56,90,69,7.58,broken clouds
109,Kysyl-Syr,RU,63.8986,122.7617,45.0,57,79,10.89,broken clouds
110,Gao,ML,16.6362,1.637,84.6,14,5,11.05,clear sky
111,Sitka,US,57.0531,-135.33,49.89,81,90,8.05,moderate rain
112,Cidreira,BR,-30.1811,-50.2056,65.43,96,11,13.27,few clouds
113,Kodiak,US,57.79,-152.4072,40.87,69,0,9.24,clear sky
114,Panaba,MX,21.2833,-88.2667,74.71,94,8,5.68,clear sky
115,Champerico,GT,14.3,-91.9167,81.36,79,89,2.28,overcast clouds
116,Berlevag,NO,70.8578,29.0864,53.55,82,90,12.66,overcast clouds
117,Santa Cruz,BO,-17.8,-63.1667,74.66,83,34,4.61,smoke
118,Makakilo City,US,21.3469,-158.0858,79.12,71,75,5.75,broken clouds
119,Aleksandrov Gay,RU,50.147,48.5704,52.75,81,99,10.4,overcast clouds
120,Viedma,AR,-40.8135,-62.9967,39.56,78,1,9.82,clear sky
121,Port Alfred,ZA,-33.5906,26.891,67.64,74,22,15.43,few clouds
122,Thinadhoo,MV,0.5333,72.9333,82.54,75,100,15.64,overcast clouds
123,Porto Novo,BJ,6.4965,2.6036,76.82,90,93,3.38,overcast clouds
124,Hamilton,US,39.1834,-84.5333,62.82,78,1,0.0,clear sky
125,Hasaki,JP,35.7333,140.8333,77.29,63,22,19.77,few clouds
126,Kavieng,PG,-2.5744,150.7967,82.9,77,36,9.24,light rain
127,Isla Mujeres,MX,21.2311,-86.731,77.16,77,9,7.38,clear sky
128,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,0.0,few clouds
129,Avarua,CK,-21.2078,-159.775,75.25,78,90,3.44,light rain
130,Smolenka,RU,52.1352,113.4974,55.47,22,40,15.66,scattered clouds
131,Llangefni,GB,53.2556,-4.3106,52.74,87,75,12.66,moderate rain
132,Udala,ES,43.0778,-2.5125,63.81,72,100,6.04,overcast clouds
133,Chokurdakh,RU,70.6333,147.9167,26.11,77,100,15.39,overcast clouds
134,Katsuura,JP,35.1333,140.3,81.1,68,22,20.76,few clouds
135,Sawtell,AU,-30.3833,153.1,64.42,59,88,10.36,overcast clouds
136,Fare,PF,-16.7,-151.0167,79.36,79,4,16.51,light rain
137,Kirakira,SB,-10.4544,161.9205,80.69,84,99,8.95,overcast clouds
138,Yellowknife,CA,62.456,-114.3525,36.28,100,1,3.44,clear sky
139,Abu Kamal,SY,34.4506,40.9171,79.56,18,0,10.92,clear sky
140,Bombay,IN,19.0144,72.8479,84.18,84,75,4.61,haze
141,Rosetown,CA,51.5501,-108.0014,58.98,38,42,12.66,scattered clouds
142,Nanchang,CN,28.6833,115.8833,95.34,46,3,7.85,clear sky
143,Aklavik,CA,68.2191,-135.0107,27.43,93,85,5.08,overcast clouds
144,Lompoc,US,34.6391,-120.4579,62.56,84,90,3.44,mist
145,Svetlaya,RU,46.5389,138.3297,63.28,80,54,13.09,broken clouds
146,Qunduz,AF,36.729,68.857,84.11,23,0,14.79,clear sky
147,Beloha,MG,-25.1667,45.05,80.26,40,1,10.33,clear sky
148,Namatanai,PG,-3.6667,152.4333,84.2,67,45,5.68,scattered clouds
149,Atuona,PF,-9.8,-139.0333,78.22,71,5,19.66,clear sky
150,Cabo San Lucas,MX,22.8909,-109.9124,82.51,84,33,1.01,scattered clouds
151,Zemio,CF,5.0314,25.1361,71.92,90,90,1.5,overcast clouds
152,Duluth,US,46.7833,-92.1066,59.34,78,1,1.01,clear sky
153,Monrovia,LR,6.3005,-10.7969,73.17,95,100,5.59,heavy intensity rain
154,Canon City,US,38.441,-105.2424,72.03,30,1,1.01,clear sky
155,Mackenzie,CA,55.2999,-123.1698,48.42,100,90,2.3,overcast clouds
156,Cao Bang,VN,22.6667,106.25,90.12,53,9,3.71,clear sky
157,Kochevo,RU,59.5994,54.3125,40.05,70,100,10.89,overcast clouds
158,Talcahuano,CL,-36.7167,-73.1167,40.68,93,0,4.61,clear sky
159,Tasiilaq,GL,65.6145,-37.6368,33.96,65,16,6.91,few clouds
160,Cayenne,GF,4.9333,-52.3333,80.1,85,37,1.14,scattered clouds
161,Pacific Grove,US,36.6177,-121.9166,60.48,86,5,1.01,clear sky
162,Asfi,MA,32.2994,-9.2372,66.56,85,34,12.59,scattered clouds
163,Victoria,HK,22.2855,114.1577,89.65,78,35,5.99,scattered clouds
164,Orbetello,IT,42.4408,11.2196,73.8,100,90,9.22,fog
165,Conde,BR,-7.2597,-34.9075,74.66,94,90,10.36,overcast clouds
166,Pirovskoye,RU,57.6267,92.2658,40.12,84,100,5.68,overcast clouds
167,Pangnirtung,CA,66.1451,-65.7125,31.6,61,12,4.9,few clouds
168,Iqaluit,CA,63.7506,-68.5145,35.33,74,75,18.01,broken clouds
169,Nikolskoye,RU,59.7035,30.7861,49.87,91,60,3.76,broken clouds
170,Forestville,US,38.8451,-76.875,61.83,83,1,0.0,clear sky
171,Nanortalik,GL,60.1432,-45.2371,36.18,82,7,4.27,clear sky
172,Ust-Nera,RU,64.5667,143.2,38.21,66,74,4.12,broken clouds
173,Half Moon Bay,US,37.4636,-122.4286,61.14,83,90,0.0,overcast clouds
174,Sistranda,NO,63.7256,8.834,58.89,84,87,5.91,overcast clouds
175,Saint-Pierre,RE,-21.3393,55.4781,77.29,69,40,29.93,light rain
176,Kucevo,RS,44.4775,21.67,62.78,68,75,6.42,broken clouds
177,Kiruna,SE,67.8557,20.2251,43.72,93,90,2.3,overcast clouds
178,Yar-Sale,RU,66.8333,70.8333,40.06,63,1,9.78,clear sky
179,Vao,NC,-22.6667,167.4833,67.95,69,17,13.94,few clouds
180,Lucapa,AO,-8.4192,20.7447,73.63,62,99,4.23,overcast clouds
181,Avera,US,33.194,-82.5271,63.91,66,0,1.88,clear sky
182,Saint-Augustin,CA,51.226,-58.6502,53.98,98,100,16.62,overcast clouds
183,Kidal,ML,18.4411,1.4078,82.72,18,0,10.4,clear sky
184,Alice Springs,AU,-23.7,133.8833,94.55,8,36,12.66,scattered clouds
185,Victor Harbor,AU,-35.5667,138.6167,77.72,56,70,3.31,broken clouds
186,Arraial Do Cabo,BR,-22.9661,-42.0278,70.5,89,58,17.56,broken clouds
187,Vostok,RU,46.4856,135.8833,65.3,57,99,5.66,overcast clouds
188,Akyab,MM,20.15,92.9,85.55,69,90,11.1,overcast clouds
189,Zhongshu,CN,24.5167,103.7667,75.11,52,8,5.48,clear sky
190,Waingapu,ID,-9.6567,120.2641,85.89,62,53,15.79,broken clouds
191,Port Hawkesbury,CA,45.6169,-61.3485,66.18,99,90,1.99,light rain
